,sentence,slot,intent,label
0,listen to westbam alumb allergic on google music,O O B-artist O B-album O B-service I-service,PlayMusic,3
1,add step to me to the 50 clásicos playlist,O B-entity_name I-entity_name I-entity_name O O B-playlist I-playlist O,AddToPlaylist,0
2,i give this current textbook a rating value of 1 and a best rating of 6,O O O B-object_select B-object_type O O O O B-rating_value O O O O O B-best_rating,RateBook,4
3,play the song little robin redbreast,O O B-music_item B-track I-track I-track,PlayMusic,3
4,please add iris dement to my playlist this is selena,O O B-artist I-artist O B-playlist_owner O B-playlist I-playlist I-playlist,AddToPlaylist,0
5,add slimm cutta calhoun to my this is prince playlist,O B-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist,0
6,i want to listen to seventies music,O O O O O B-year O,PlayMusic,3
7,play a popular chant by brian epstein,O O B-sort B-music_item O B-artist I-artist,PlayMusic,3
8,find fish story,O B-movie_name I-movie_name,SearchScreeningEvent,6
9,book a spot for 3 in mt,O O O O B-party_size_number O B-state,BookRestaurant,1
10,i need a forecast for jetmore massachusetts in 1 hour and 1 second from now,O O O O O B-city B-state O B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange,GetWeather,2
11,rate this series a 5,O B-object_select B-object_part_of_series_type O B-rating_value,RateBook,4
12,give me a list of movie times for films in the area,O O O O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,6
13,can you play me some eighties music by adele,O O O O O B-year O O B-artist,PlayMusic,3
14,please let me know the weather forcast of stanislaus national forest far in nine months,O O O O O O O O B-geographic_poi I-geographic_poi I-geographic_poi B-spatial_relation B-timeRange I-timeRange I-timeRange,GetWeather,2
15,book a restaurant for eight people in six years,O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange I-timeRange,BookRestaurant,1
16,i need to book a restaurant in fork mountain sc for valarie mari and i,O O O O O B-restaurant_type O B-city I-city B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description,BookRestaurant,1
17,add to playlist confidence boost here comes santa claus,O O O B-playlist I-playlist B-entity_name I-entity_name I-entity_name I-entity_name,AddToPlaylist,0
18,book a restaurant at sixteen o clock in sc,O O B-restaurant_type O B-timeRange I-timeRange I-timeRange O B-state,BookRestaurant,1
19,add another artist to the spotlight on country 2016 playlist,O O B-music_item O O B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,0
20,find a movie house showing cage without a key,O O B-object_location_type I-object_location_type O B-movie_name I-movie_name I-movie_name I-movie_name,SearchScreeningEvent,6
21,add sugarolly days to my list your favorite slaughterhouse,O B-entity_name I-entity_name O B-playlist_owner O B-playlist I-playlist I-playlist,AddToPlaylist,0
22,show me the picture creatures of light and darkness,O O O B-object_type B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork,5
23,search for the adventures of cookie & cream,O O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork,5
24,add this track to my global funk,O O B-music_item O B-playlist_owner B-playlist I-playlist,AddToPlaylist,0
25,find animated movies nearest at a movie house,O B-movie_type I-movie_type B-spatial_relation O O B-object_location_type I-object_location_type,SearchScreeningEvent,6
26,play hell house song,O B-object_name I-object_name B-object_type,SearchCreativeWork,5
27,give this novel 5 stars,O B-object_select B-object_type B-rating_value B-rating_unit,RateBook,4
28,find me showtimes for animated movies in the neighbourhood,O O O O B-movie_type I-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,6
29,find movie times,O B-object_type I-object_type,SearchScreeningEvent,6
30,play the top-20 best chicane songs on deezer,O O B-sort I-sort B-artist O O B-service,PlayMusic,3
31,i want to give this current textbook 4 points,O O O O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook,4
32,add manuelita to my indiespensables playlist,O B-entity_name O B-playlist_owner B-playlist O,AddToPlaylist,0
33,show movie schedules for douglas theatre company,O B-object_type I-object_type O B-location_name I-location_name I-location_name,SearchScreeningEvent,6
34,i d like to see the show onion sportsdome,O O O O O O B-object_type B-object_name I-object_name,SearchCreativeWork,5
35,i d like to go to the popular bistro in oh,O O O O O O O B-sort B-restaurant_type O B-state,BookRestaurant,1
36,what s the weather in my current spot the day after tomorrow,O O O O O O B-current_location I-current_location B-timeRange I-timeRange I-timeRange I-timeRange,GetWeather,2
37,play playlist the realest down south,O O B-playlist I-playlist I-playlist I-playlist,PlayMusic,3
38,add this artist to gretchen s soul revived playlist,O O B-music_item O B-playlist_owner I-playlist_owner B-playlist I-playlist O,AddToPlaylist,0
39,find a video game called victory march,O O B-object_type I-object_type O B-object_name I-object_name,SearchCreativeWork,5
40,find a novel called industry,O O B-object_type O B-object_name,SearchCreativeWork,5
41,book a taverna that serves vichyssoise within walking distance in oh,O O B-restaurant_type O O B-served_dish B-spatial_relation I-spatial_relation I-spatial_relation O B-state,BookRestaurant,1
42,let me see the movie schedule for seed of chucky,O O O O O B-object_type O B-movie_name I-movie_name I-movie_name,SearchScreeningEvent,6
43,play a chant by mj cole,O O B-music_item O B-artist I-artist,PlayMusic,3
44,what is the weather like in the city of frewen in the country of venezuela,O O O O O O O O O B-city O O O O B-country,GetWeather,2
45,put this song on my playlist in the name of blues,O O B-music_item O B-playlist_owner O B-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist,0
46,will it be colder in ohio,O O O B-condition_temperature O B-state,GetWeather,2
47,rate this album a 1,O B-object_select B-object_type O B-rating_value,RateBook,4
48,in the area find some films,B-spatial_relation I-spatial_relation I-spatial_relation O O B-movie_type,SearchScreeningEvent,6
49,what times will the young swordsman be showing at a local cinema,O B-object_type O B-movie_name I-movie_name I-movie_name O O O O O B-object_location_type,SearchScreeningEvent,6
50,book a brasserie for one,O O B-restaurant_type O B-party_size_number,BookRestaurant,1
51,play all of your toys by chris ledoux,O B-track I-track I-track I-track O B-artist I-artist,PlayMusic,3
52,i want to hear a joel hastings melody,O O O O O B-artist I-artist B-music_item,PlayMusic,3
53,i want to book a restaurant not far from our college,O O O O O B-restaurant_type B-spatial_relation I-spatial_relation O B-poi I-poi,BookRestaurant,1
54,rate in stars as a 6 for lord of the shadows which gets a four,O O B-rating_unit O O B-best_rating O B-object_name I-object_name I-object_name I-object_name O O O B-rating_value,RateBook,4
55,add rak biszewilo to my playlist named jazz,O B-entity_name I-entity_name O B-playlist_owner O O B-playlist,AddToPlaylist,0
56,rate my current book 1 out of 6,O O B-object_select B-object_type B-rating_value O O B-best_rating,RateBook,4
